id,date,amount,direction,accountNumber,accountLabel,kind,description,journalEntryId,journalNumber,createdAt
ad9ae34a-5c12-4082-afbc-eb003c75ec86,2025-09-25T00:00:00.000Z,8000.00,DEBIT,310000,Marchandises,ADJUSTMENT,"Ouverture 2025-09-25 Stocks de matières premières",d369c547-9a16-4cfc-984c-92f916e6ae8d,JRN-000017,
5d225f81-6752-4f2f-9b2d-349fe04ffc57,2025-09-25T00:00:00.000Z,5000.00,DEBIT,512000,Effets A L'Encaissement,ADJUSTMENT,"Ouverture 2025-09-25 Banque - compte d'épargne",d369c547-9a16-4cfc-984c-92f916e6ae8d,JRN-000017,
aa3659b1-cd94-4640-b62d-3805163d7689,2025-09-25T00:00:00.000Z,2000.00,DEBIT,213000,Logiciels,ADJUSTMENT,"Ouverture 2025-09-25 Créances diverses",d369c547-9a16-4cfc-984c-92f916e6ae8d,JRN-000017,
bef7bc00-7fca-4de4-8208-b7eacf9c41c4,2025-09-25T00:00:00.000Z,25000.00,DEBIT,218000,Autres Droits Et Valeurs Incorporels,ASSET_ACQUISITION,"Ouverture immobilisation AS-000001 IMMO-001",d369c547-9a16-4cfc-984c-92f916e6ae8d,JRN-000017,
ec5293dc-7b42-4cf7-a632-22a6489f8f09,2025-09-25T00:00:00.000Z,20000.00,CREDIT,471000,Comptes D'Attente,ADJUSTMENT,"Ouverture immobilisation AS-000001 IMMO-001",d369c547-9a16-4cfc-984c-92f916e6ae8d,JRN-000017,
0d6e95a4-9821-468a-99cd-74c659280cbc,2025-09-25T00:00:00.000Z,25000.00,DEBIT,218000,Autres Droits Et Valeurs Incorporels,ASSET_ACQUISITION,"Ouverture immobilisation AS-000002 IMMO-001",d369c547-9a16-4cfc-984c-92f916e6ae8d,JRN-000017,
ab512cb8-2667-44dc-8ef7-0ad49b0063cc,2025-09-25T00:00:00.000Z,5000.00,CREDIT,281000,Amortissements Des Immobilisations Incorporelles,ASSET_DEPRECIATION_RESERVE,"Ouverture immobilisation AS-000002 IMMO-001",d369c547-9a16-4cfc-984c-92f916e6ae8d,JRN-000017,
32683c58-3566-4867-b390-033a0592209e,2025-09-25T00:00:00.000Z,20000.00,CREDIT,471000,Comptes D'Attente,ADJUSTMENT,"Ouverture immobilisation AS-000002 IMMO-001",d369c547-9a16-4cfc-984c-92f916e6ae8d,JRN-000017,
4e16fdc7-cf26-4d68-821e-543bdbf224ba,2025-09-25T00:00:00.000Z,1200.00,DEBIT,218000,Autres Droits Et Valeurs Incorporels,ASSET_ACQUISITION,"Ouverture immobilisation AS-000003 IMMO-002",d369c547-9a16-4cfc-984c-92f916e6ae8d,JRN-000017,
ccb9a363-c065-49e8-babd-9bd1ff45e557,2025-09-25T00:00:00.000Z,5000.00,CREDIT,281000,Amortissements Des Immobilisations Incorporelles,ASSET_DEPRECIATION_RESERVE,"Ouverture immobilisation AS-000001 IMMO-001",d369c547-9a16-4cfc-984c-92f916e6ae8d,JRN-000017,
